wgt,liq,fin,asset
3027.956120463494,13100,258100,957100
3054.900065122983,7300,184300,1067300
3163.637765693508,5200,175200,957200
3166.228463262177,51600,93600,828600
3235.624714725865,7600,34600,825600
236.6347540840046,40500,140500,1240500
245.8483980171002,42500,142500,1242500
253.1034770119427,41100,141100,1241100
252.9081179490199,44000,144000,1244000
253.8113115064596,42300,142300,1241300
678.8693074694265,10890,60492890,61177590
671.8323703623448,8480,60671480,61291510
619.9533487808426,8290,60765290,62086890
691.5135947966958,16480,60477480,62720180
671.7729155681716,14280,60230280,62430180
621.9488538943858,164000,2163000,2203000
653.2911760285475,165000,1966000,2006000
597.1690739714556,165000,1960000,2000000
611.8923897958964,164000,2314000,2354000
612.0693479154959,165000,1960000,2000000
7191.481108679977,1100,1100,15100
7352.48720467721,1500,1500,15500
7270.703540673554,1500,1500,14500
7383.866596488243,1600,1600,15600
7330.537668639445,1500,1500,15500
3486.222887985491,184000,5728000,7343000
3675.383207135626,164000,5022000,6635000
3839.762976831191,162000,4913000,6527000
3695.658305734678,177000,6010000,7623000
3530.778201558785,176000,5284170,6897170
58.66907603843963,117000,13436800,70669800
57.86339894680526,118000,13614800,73429800
58.18272060893567,118000,14356800,76810800
59.45197311672244,121000,14347800,73633800
59.19887069018463,115000,14570800,74328800
2459.293217566148,1500,1500,1500
2472.8364155938,1500,1500,1500
2435.570335436865,1500,1500,1500
2476.151192937278,1500,1500,1500
2441.12812922322,1500,1500,1500
3550.941348310073,215000,295000,7331100
3645.393884725729,215000,295000,7331100
3789.185845712552,215000,295000,7330200
3639.105730941978,215000,295000,12191200
2203.16836073048,215000,295000,23592100
7792.679093056645,27950,27950,394750
7003.49169885031,27950,27950,397750
7158.27555679317,27950,27950,398650
7408.690446454459,27950,27950,396350
7082.994739438186,27950,27950,396550
1823.136754973125,20500,20500,506500
1643.773084761567,20500,20500,505500
1723.310721076773,20500,20500,506500
1778.579779687817,20500,20500,506500
1613.72927221716,20500,20500,506500
6265.227623408862,1950,1950,11950
6259.518781948848,2950,2950,12950
6296.717403782173,1550,1550,11550
6276.211110143882,2050,4750,14750
6272.771190597536,2650,2650,12650
3681.559296658824,13000,204000,217000
3487.096023311659,240,140240,153240
2111.250174495986,11000,93000,106000
2143.147385272881,1000,82000,95000
2194.231996549065,2200,53200,66200
4004.266192356378,510,510,545510
6010.719396117265,520,520,534520
6214.278475880978,501,501,526301
6054.50482269743,501,501,524101
6133.281260817186,501,501,524201
18445.54849556913,36020,43620,79620
17881.63483791398,36110,43710,77710
18238.61194405524,33600,42770,79770
18054.48685858941,33940,41610,75610
17999.90608741092,30960,50130,83130
3426.378754692827,3290,3290,315090
3162.4438974529,2690,2690,313490
3266.924316616246,3360,3360,312390
3234.728015513988,3260,3260,315760
3187.571284824036,3380,3380,312200
1776.951904509808,2650,2650,23350
1765.436674292127,2650,2650,29750
1798.737901885782,2650,2650,27850
1761.611690455241,2650,2650,27950
1792.614277956313,2650,2650,25850
8217.213868243784,58100,428100,1051200
8247.743941819832,58100,428100,950200
8878.060200571068,58100,428100,1030100
8468.168307182899,58100,428100,989100
